AGE,DRIVINGEXPERIENCE,CREDITSCORE,ANNUALMILEAGE,VEHICLEOWNERSHIP,VEHICLEMANUFACTURE,CLAIM
67,30+y,0.7054542902137054,10000.0,yes,before2015,0
61,20-29y,0.6595254905875941,16000.0,yes,since2015,0
43,20-29y,0.5873836120460223,9000.0,no,since2015,0
18,0-9y,0.4064824253974476,16000.0,no,before2015,1
28,10-19y,0.2857471319596469,13000.0,no,before2015,1
46,20-29y,0.5022849652731057,14000.0,no,before2015,0
68,20-29y,0.6256257210210231,7000.0,yes,since2015,0
38,10-19y,0.3931531299744003,12000.0,yes,before2015,0
34,10-19y,0.5039497598168121,14000.0,no,before2015,0
50,20-29y,0.6586274302571438,14000.0,yes,before2015,0
34,0-9y,0.5241464657501199,17000.0,no,before2015,1
66,20-29y,0.5531007570628673,7000.0,no,since2015,0
20,0-9y,0.4475509489142775,8000.0,no,before2015,1
24,0-9y,0.5107331365064207,7000.0,yes,before2015,1
18,0-9y,0.4613735917269193,9000.0,no,before2015,1
57,20-29y,0.3875569443647317,12000.0,no,since2015,0
38,10-19y,0.5501250875743224,16000.0,yes,before2015,0
57,20-29y,0.4529442316093683,12000.0,no,before2015,0
59,20-29y,0.5352743096602144,7000.0,yes,before2015,0
18,0-9y,0.6147359485632915,15000.0,yes,before2015,1
50,10-19y,0.5326613280250595,11000.0,yes,before2015,0
56,0-9y,0.4277285143019345,15000.0,yes,before2015,1
73,20-29y,0.6859457213719147,5000.0,yes,before2015,0
74,10-19y,0.6936124267187082,10000.0,yes,before2015,0
69,20-29y,0.5979905963582334,12000.0,no,before2015,1
27,0-9y,0.3308186664986927,12000.0,no,since2015,1
16,0-9y,0.5083042183803546,16000.0,yes,before2015,0
39,0-9y,0.7641329165005233,12000.0,yes,before2015,0
42,0-9y,0.4775169603837716,14000.0,yes,since2015,0
53,20-29y,0.6812332078486962,10000.0,yes,before2015,0
60,0-9y,0.4671555457007022,16000.0,yes,since2015,0
21,0-9y,0.3941632454999797,16000.0,yes,before2015,1
62,10-19y,0.6610607322734078,14000.0,yes,since2015,0
59,20-29y,0.6651879748430346,14000.0,no,before2015,0
23,0-9y,0.560770206632082,11000.0,yes,before2015,0
33,10-19y,0.7454327103696547,9000.0,no,since2015,0
39,10-19y,0.53257435224505,13000.0,yes,before2015,0
34,10-19y,0.5267473391434415,14000.0,yes,since2015,0
25,0-9y,0.4124517461654282,14000.0,no,before2015,1
52,20-29y,0.3871071449018297,16000.0,no,before2015,0
74,10-19y,0.5499938678343249,9000.0,yes,before2015,0
20,0-9y,0.5853420947575604,12000.0,yes,before2015,1
66,30+y,0.5987396054343311,14000.0,yes,before2015,0
48,20-29y,0.6026557000791793,7000.0,yes,since2015,0
45,20-29y,0.5586591735288894,15000.0,no,before2015,0
40,10-19y,0.6284070137170304,13000.0,no,before2015,1
58,0-9y,0.5057903732571783,13000.0,yes,before2015,0
37,10-19y,0.7268184180645275,15000.0,yes,before2015,0
69,20-29y,0.6904423335733175,9000.0,yes,since2015,0
55,20-29y,0.4796771646619314,14000.0,no,since2015,0
51,20-29y,0.4405592041968235,11000.0,yes,since2015,0
38,0-9y,0.3086490182004943,14000.0,no,before2015,0
24,0-9y,0.2458351852340737,11000.0,no,before2015,1
25,0-9y,0.3056465190413162,14000.0,no,before2015,1
38,10-19y,0.7440140862681482,13000.0,yes,before2015,0
40,10-19y,0.6704645467899408,14000.0,yes,since2015,0
65,30+y,0.6830407984824192,10000.0,no,since2015,0
19,0-9y,0.828628569053192,13000.0,yes,before2015,1
74,30+y,0.6293380939717407,11000.0,yes,before2015,0
16,0-9y,0.28372421050714,15000.0,no,before2015,1
16,0-9y,0.4576486815858435,14000.0,yes,since2015,1
19,0-9y,0.3049876423937953,15000.0,no,before2015,1
22,0-9y,0.5517442884135392,10000.0,no,before2015,1
20,0-9y,0.3186855562451054,9000.0,yes,before2015,1
32,10-19y,0.436944194154781,12000.0,yes,before2015,0
49,10-19y,0.6291939843221722,7000.0,yes,before2015,0
25,0-9y,0.4055600158887265,17000.0,yes,before2015,1
25,0-9y,0.6235462115803201,11000.0,yes,before2015,0
66,10-19y,0.7270329897821235,10000.0,yes,before2015,0
72,20-29y,0.426828388879915,14000.0,yes,before2015,0
31,10-19y,0.5036589704487734,10000.0,yes,before2015,0
69,30+y,0.7264400018455291,7000.0,yes,since2015,0
19,0-9y,0.5757707974509628,11000.0,yes,before2015,1
24,0-9y,0.468671965728324,9000.0,yes,since2015,1
71,20-29y,0.6970834558464781,13000.0,no,since2015,0
43,20-29y,0.5429181079423034,15000.0,yes,before2015,0
66,30+y,0.6722562535141292,9000.0,yes,before2015,0
19,0-9y,0.3864066185703315,8000.0,no,before2015,1
24,0-9y,0.5512978330713669,12000.0,yes,before2015,1
59,20-29y,0.5985570254244251,14000.0,no,since2015,0
58,20-29y,0.5824219946087406,11000.0,yes,since2015,0
73,20-29y,0.6330139475122963,14000.0,yes,since2015,0
55,20-29y,0.552204630296896,12000.0,yes,since2015,0
30,0-9y,0.3266816101781183,16000.0,no,before2015,1
59,20-29y,0.5880825424047316,13000.0,yes,before2015,0
72,0-9y,0.7022748020975709,10000.0,no,before2015,1
70,0-9y,0.7266055391975765,13000.0,yes,before2015,0
68,30+y,0.73238212135242,12000.0,yes,before2015,0
20,0-9y,0.2012839211827758,12000.0,yes,before2015,1
34,10-19y,0.4641607076311848,16000.0,no,before2015,0
41,20-29y,0.6579677428053038,13000.0,yes,since2015,0
71,30+y,0.6002161554309658,13000.0,yes,before2015,0
72,30+y,0.6663760181644964,12000.0,yes,since2015,0
29,0-9y,0.4031472802313768,10000.0,yes,before2015,0
70,20-29y,0.4169350441301069,13000.0,yes,before2015,0
74,30+y,0.5948797136778915,8000.0,yes,before2015,0
31,10-19y,0.3804265034620669,16000.0,no,before2015,0
74,30+y,0.680617632406099,12000.0,yes,before2015,0
40,0-9y,0.3559504699938693,16000.0,yes,before2015,1
67,10-19y,0.5733880426029547,10000.0,yes,since2015,0
25,0-9y,0.2964062828237805,13000.0,yes,before2015,1
69,10-19y,0.4295096986208441,10000.0,yes,before2015,0
74,30+y,0.6885687186194461,11000.0,yes,since2015,0
74,20-29y,0.700017431968704,13000.0,yes,since2015,0
46,20-29y,0.6900455818778344,11000.0,yes,since2015,0
42,10-19y,0.4960298730510012,13000.0,yes,since2015,0
30,10-19y,0.6563457625165399,6000.0,no,since2015,0
64,0-9y,0.4983566259941653,12000.0,yes,since2015,0
18,0-9y,0.5463825431033477,12000.0,yes,before2015,0
63,10-19y,0.3158628767091658,11000.0,yes,before2015,0
26,10-19y,0.3578391720711443,12000.0,yes,before2015,1
71,10-19y,0.672756052841708,9000.0,yes,since2015,0
71,30+y,0.6226519789949738,11000.0,yes,since2015,0
17,0-9y,0.4801406677163008,14000.0,no,since2015,1
68,30+y,0.6787954309829434,11000.0,yes,since2015,0
44,20-29y,0.5152467080125883,12000.0,yes,since2015,0
38,10-19y,0.4899205986325767,13000.0,yes,before2015,0
69,30+y,0.4219579486132668,11000.0,yes,before2015,0
74,30+y,0.5581569698935803,14000.0,yes,since2015,0
16,0-9y,0.19414954837432,12000.0,no,before2015,1
18,0-9y,0.300497330390378,13000.0,no,before2015,1
44,20-29y,0.6670906918498556,7000.0,yes,since2015,0
29,10-19y,0.5952817629709132,8000.0,yes,before2015,0
34,0-9y,0.3482357882933829,7000.0,no,before2015,1
26,10-19y,0.3566396714745861,8000.0,yes,since2015,0
29,10-19y,0.3486591269429803,12000.0,no,before2015,1
45,0-9y,0.5594684860915574,12000.0,yes,before2015,1
20,0-9y,0.514483730987584,12000.0,no,before2015,1
46,20-29y,0.5626384060668865,13000.0,yes,since2015,0
44,20-29y,0.5717246252857962,15000.0,yes,before2015,0
74,30+y,0.6510078690171576,12000.0,yes,since2015,0
25,0-9y,0.3707348173567914,12000.0,yes,before2015,1
17,0-9y,0.3051450776813433,14000.0,yes,before2015,0
39,10-19y,0.4500145680826032,13000.0,yes,before2015,0
26,0-9y,0.3357473732007096,15000.0,no,before2015,1
27,10-19y,0.5578403271955679,10000.0,yes,since2015,0
16,0-9y,0.1924274124285441,11000.0,no,before2015,1
35,10-19y,0.3528243251354439,11000.0,no,before2015,1
65,0-9y,0.647569234863379,11000.0,no,since2015,1
19,0-9y,0.4572362634438549,10000.0,yes,since2015,0
28,10-19y,0.5042469291759577,13000.0,yes,before2015,0
24,0-9y,0.3749625006784157,15000.0,yes,before2015,1
21,0-9y,0.6603156212983624,11000.0,yes,before2015,0
59,20-29y,0.4169178873741152,12000.0,yes,before2015,0
27,10-19y,0.6350840347750659,17000.0,yes,before2015,0
32,10-19y,0.4049288507406456,11000.0,yes,before2015,0
42,20-29y,0.4956283926329951,11000.0,no,since2015,0
62,10-19y,0.5149450496137513,11000.0,yes,since2015,0
69,30+y,0.5032225392796313,9000.0,yes,since2015,0
29,10-19y,0.7140339031205747,11000.0,yes,before2015,1
33,10-19y,0.3670512395145257,14000.0,no,before2015,1
47,20-29y,0.5793929043624154,13000.0,yes,before2015,0
56,20-29y,0.5584702236402418,10000.0,yes,before2015,0
23,0-9y,0.2919776582051944,12000.0,no,before2015,1
56,20-29y,0.6615841421190086,12000.0,yes,before2015,0
20,0-9y,0.3788290288330991,17000.0,no,before2015,1
18,0-9y,0.3740705590179875,15000.0,yes,before2015,1
70,30+y,0.4593785751523136,13000.0,yes,before2015,0
44,0-9y,0.4654506837575693,11000.0,yes,since2015,0
21,0-9y,0.4086866980912735,9000.0,yes,before2015,1
69,20-29y,0.5888021385021842,11000.0,yes,before2015,0
57,20-29y,0.61502467895473,7000.0,yes,before2015,0
60,20-29y,0.5464601140543317,8000.0,yes,since2015,0
70,0-9y,0.737994819837278,17000.0,yes,since2015,0
44,10-19y,0.4273733642706479,10000.0,yes,before2015,0
50,20-29y,0.6953231970861331,7000.0,no,before2015,0
17,0-9y,0.2912344134674337,13000.0,no,before2015,1
17,0-9y,0.2441332629984765,11000.0,no,before2015,1
72,0-9y,0.5082740148521835,9000.0,yes,since2015,0
19,0-9y,0.2932584812581273,14000.0,yes,before2015,0
29,10-19y,0.3436417190829057,13000.0,no,before2015,1
18,0-9y,0.5033225200786,15000.0,no,before2015,1
40,0-9y,0.2027084379448271,11000.0,no,before2015,1
29,10-19y,0.665343329329833,12000.0,yes,before2015,0
68,30+y,0.5386236932875669,9000.0,yes,since2015,0
24,0-9y,0.4101367047885667,15000.0,no,before2015,0
16,0-9y,0.3136455846123201,13000.0,yes,before2015,0
33,0-9y,0.5073241356207076,12000.0,yes,before2015,0
17,0-9y,0.2095073883823189,14000.0,no,before2015,1
16,0-9y,0.4907240542637642,15000.0,yes,before2015,1
49,20-29y,0.5814986743175801,14000.0,yes,before2015,0
39,0-9y,0.6850359505244253,12000.0,yes,before2015,1
41,10-19y,0.5128461364179456,10000.0,yes,since2015,0
60,10-19y,0.6624617559275001,13000.0,yes,since2015,0
56,20-29y,0.5564133152355352,17000.0,yes,before2015,0
24,0-9y,0.2673466585061873,17000.0,no,before2015,0
70,30+y,0.8094112590513309,9000.0,yes,before2015,0
20,0-9y,0.3679435479917757,11000.0,no,since2015,0
66,30+y,0.5033547111991341,11000.0,no,before2015,0
72,0-9y,0.5342877060116482,13000.0,yes,before2015,0
53,20-29y,0.4490117755463273,7000.0,yes,before2015,1
52,20-29y,0.8032523419405172,10000.0,yes,before2015,0
20,0-9y,0.186185114720855,17000.0,no,before2015,1
66,30+y,0.4836380123288594,9000.0,yes,since2015,0
38,10-19y,0.3858741008429725,14000.0,yes,before2015,0
74,30+y,0.6343725020457226,11000.0,yes,since2015,0
21,0-9y,0.3621741186724681,16000.0,yes,before2015,1
70,10-19y,0.6928836357133882,10000.0,yes,before2015,0
68,30+y,0.5777028525076912,11000.0,yes,before2015,0
52,20-29y,0.6640650143948857,11000.0,yes,since2015,0
38,0-9y,0.2828694808711571,13000.0,no,before2015,1
50,0-9y,0.4317004117968687,10000.0,no,before2015,1
22,0-9y,0.1264534313986037,14000.0,yes,before2015,1
18,0-9y,0.2859976102627207,12000.0,no,before2015,1
29,10-19y,0.5430074428650375,15000.0,yes,since2015,0
65,20-29y,0.7917101109944502,11000.0,yes,since2015,0
33,10-19y,0.4717963087189384,5000.0,no,before2015,0
36,10-19y,0.628633149594721,9000.0,no,before2015,1
20,0-9y,0.3448180556225356,10000.0,no,before2015,1
61,20-29y,0.5478225909631781,15000.0,yes,before2015,0
24,0-9y,0.3398648345906033,16000.0,no,before2015,1
23,0-9y,0.2897871439465148,13000.0,no,since2015,0
17,0-9y,0.5979347864750699,13000.0,yes,before2015,1
38,0-9y,0.3692930793988261,14000.0,no,before2015,1
68,30+y,0.4171250369936769,9000.0,yes,before2015,0
55,20-29y,0.570277670616915,7000.0,yes,before2015,0
63,20-29y,0.5340483380212564,16000.0,yes,before2015,1
41,0-9y,0.5968280062363127,13000.0,yes,since2015,0
48,20-29y,0.5860627511953006,13000.0,no,before2015,0
60,0-9y,0.6168247780300146,9000.0,yes,since2015,0
65,30+y,0.344957864738121,15000.0,yes,before2015,0
18,0-9y,0.7154034227572682,10000.0,yes,since2015,0
34,10-19y,0.4082920061533436,10000.0,yes,before2015,1
39,10-19y,0.606735714725739,12000.0,yes,before2015,0
74,30+y,0.5824680179178995,14000.0,yes,before2015,0
27,10-19y,0.755633866133054,16000.0,no,before2015,1
20,0-9y,0.2912086260521752,11000.0,no,before2015,1
36,10-19y,0.6161117243839742,13000.0,yes,since2015,0
41,10-19y,0.4712361399215783,12000.0,yes,before2015,0
48,20-29y,0.5153486460517401,10000.0,yes,before2015,0
72,10-19y,0.507690848953627,7000.0,yes,since2015,0
47,10-19y,0.509910296776192,13000.0,no,before2015,0
60,0-9y,0.5038597346352107,11000.0,no,before2015,1
48,20-29y,0.577135941672739,7000.0,no,before2015,0
52,20-29y,0.5778131836961647,12000.0,yes,before2015,0
45,20-29y,0.4953502835315234,9000.0,yes,before2015,0
25,0-9y,0.4526765592626403,12000.0,no,before2015,1
21,0-9y,0.6164262036016749,11000.0,yes,before2015,1
35,10-19y,0.3457261884790099,13000.0,yes,since2015,0
29,0-9y,0.5841273528155413,14000.0,no,before2015,1
60,20-29y,0.6117018176344066,9000.0,no,before2015,0
70,30+y,0.5458900735115071,15000.0,yes,since2015,1
39,10-19y,0.1436568483193364,17000.0,no,before2015,0
35,10-19y,0.3262403387046744,13000.0,yes,before2015,1
39,0-9y,0.2806543806481637,14000.0,no,before2015,1
68,0-9y,0.7306774626064182,13000.0,yes,since2015,0
21,0-9y,0.5783712166428834,13000.0,yes,before2015,1
60,10-19y,0.4816627514207715,10000.0,yes,before2015,0
62,10-19y,0.2516227091679711,12000.0,no,before2015,0
54,20-29y,0.5872893810932033,12000.0,yes,since2015,0
26,10-19y,0.5573996021834157,6000.0,yes,before2015,0
23,0-9y,0.4289832028689519,12000.0,no,before2015,1
70,30+y,0.6403236933748687,9000.0,yes,since2015,0
34,10-19y,0.4466473449579012,10000.0,yes,before2015,0
37,10-19y,0.2710642145687786,14000.0,yes,since2015,0
38,10-19y,0.5655780916935856,12000.0,yes,before2015,0
35,10-19y,0.381262306885702,9000.0,yes,since2015,0
30,0-9y,0.6391281575503801,10000.0,yes,since2015,0
43,20-29y,0.6862027857536264,14000.0,yes,before2015,0
29,10-19y,0.4259830675931939,14000.0,no,before2015,0
66,10-19y,0.5838061362917646,11000.0,yes,since2015,0
71,30+y,0.5873165927562172,11000.0,yes,since2015,0
24,0-9y,0.566843891896652,16000.0,yes,before2015,1
29,10-19y,0.6237655956418446,12000.0,no,since2015,0
64,20-29y,0.8336684211611398,13000.0,yes,since2015,0
29,0-9y,0.4842558344936022,13000.0,no,before2015,1
36,10-19y,0.6618055009919552,14000.0,yes,before2015,0
49,0-9y,0.5905674346205279,11000.0,yes,before2015,0
34,10-19y,0.4378786301039939,11000.0,yes,since2015,0
19,0-9y,0.4010182348532662,11000.0,yes,since2015,0
64,0-9y,0.5360001927513722,12000.0,yes,before2015,0
40,20-29y,0.8748299910505895,15000.0,yes,since2015,0
64,20-29y,0.6068501228266245,12000.0,yes,since2015,0
33,0-9y,0.2076497221944782,11000.0,no,before2015,1
69,30+y,0.6019296536623298,6000.0,yes,since2015,0
46,0-9y,0.6600195827192816,12000.0,yes,since2015,0
33,10-19y,0.5739100548968327,11000.0,yes,before2015,0
39,0-9y,0.4611558624028447,12000.0,yes,since2015,1
55,0-9y,0.5411543588314012,9000.0,yes,since2015,0
72,30+y,0.7896637075334306,7000.0,yes,before2015,0
69,10-19y,0.6261539579803245,8000.0,yes,before2015,0
38,10-19y,0.4826533172678877,11000.0,yes,since2015,0
33,10-19y,0.6277262155079715,10000.0,no,before2015,0
59,10-19y,0.4351936688486559,13000.0,no,before2015,1
38,10-19y,0.4676859181203905,17000.0,no,since2015,0
34,10-19y,0.4064304948022721,15000.0,yes,since2015,0
28,10-19y,0.4287285121728106,14000.0,yes,before2015,0
67,0-9y,0.7403410730107258,9000.0,yes,before2015,1
50,20-29y,0.7297169089422261,15000.0,yes,before2015,0
21,0-9y,0.4040051987550686,9000.0,no,before2015,0
41,10-19y,0.530349303316289,10000.0,yes,before2015,0
61,20-29y,0.597964121410427,12000.0,yes,before2015,0
27,10-19y,0.3481526200753498,12000.0,no,since2015,0
70,10-19y,0.6013122510598804,8000.0,yes,before2015,0
73,0-9y,0.5664369365922711,10000.0,no,before2015,1
33,10-19y,0.4328792985209903,14000.0,yes,before2015,0
30,10-19y,0.5765924303012139,16000.0,no,before2015,1
71,30+y,0.7265435592483527,16000.0,yes,before2015,0
68,30+y,0.3479315814537255,12000.0,no,before2015,0
22,0-9y,0.431177855086253,16000.0,yes,since2015,0
49,0-9y,0.5549228533835855,12000.0,no,before2015,0
58,20-29y,0.5496378489364446,12000.0,yes,since2015,0
25,0-9y,0.3264636475532248,14000.0,no,before2015,1
27,10-19y,0.5289956747622162,9000.0,no,before2015,1
22,0-9y,0.5125630718902512,12000.0,yes,before2015,1
27,10-19y,0.4233770903561658,10000.0,no,before2015,0
37,10-19y,0.3943709791327737,13000.0,no,before2015,0
74,0-9y,0.4917990064486278,14000.0,no,before2015,1
69,20-29y,0.6049973930028122,13000.0,yes,since2015,0
60,20-29y,0.7080741498657761,10000.0,yes,since2015,0
31,0-9y,0.5608602241643745,15000.0,no,before2015,1
62,20-29y,0.7582763049169894,9000.0,yes,since2015,0
49,20-29y,0.6970379976874882,15000.0,yes,since2015,0
48,10-19y,0.6441497497980374,12000.0,yes,before2015,0
59,20-29y,0.5082183942474046,9000.0,no,before2015,0
33,10-19y,0.696136173927799,13000.0,yes,since2015,0
56,10-19y,0.4715767933840966,12000.0,yes,before2015,0
43,10-19y,0.4623747202774952,14000.0,no,since2015,0
53,10-19y,0.5096553789344698,9000.0,no,since2015,0
55,20-29y,0.4178900827649721,10000.0,no,before2015,0
60,0-9y,0.6901480984334583,7000.0,yes,before2015,0
35,10-19y,0.5619369424716061,12000.0,no,since2015,0
72,20-29y,0.6426937467690333,10000.0,yes,before2015,0
65,30+y,0.6045001028396074,13000.0,yes,before2015,0
35,10-19y,0.4347996406673757,11000.0,yes,before2015,0
46,20-29y,0.5598309463350708,7000.0,yes,since2015,0
54,10-19y,0.4439520209197586,9000.0,yes,before2015,0
25,0-9y,0.4163929572947172,11000.0,yes,before2015,1
74,30+y,0.5294607648450482,10000.0,yes,before2015,0
24,0-9y,0.4186940795440341,8000.0,no,before2015,1
72,30+y,0.7018912453366748,8000.0,yes,before2015,0
31,10-19y,0.6847622988569981,14000.0,no,since2015,0
34,10-19y,0.5200147589908034,15000.0,no,before2015,0
65,20-29y,0.5756575676623218,12000.0,yes,before2015,0
31,10-19y,0.5527408665056415,16000.0,no,before2015,1
28,0-9y,0.4503293443741408,13000.0,yes,since2015,0
34,0-9y,0.5641567210231543,13000.0,yes,before2015,0
16,0-9y,0.3707923839557827,13000.0,no,before2015,1
41,20-29y,0.5990163189686176,12000.0,no,before2015,0
70,30+y,0.6420966704689359,12000.0,yes,since2015,0
61,0-9y,0.5628390017690811,10000.0,yes,before2015,0
52,0-9y,0.3864070820443329,16000.0,no,before2015,1
30,0-9y,0.336185325210513,9000.0,no,before2015,1
48,20-29y,0.7367504567066312,15000.0,yes,before2015,0
20,0-9y,0.3260615480435063,10000.0,no,before2015,1
37,0-9y,0.397676854501618,12000.0,no,before2015,1
72,10-19y,0.5639397587703121,13000.0,yes,before2015,0
38,10-19y,0.4183694551552955,11000.0,yes,before2015,0
18,0-9y,0.6404242968082149,5000.0,yes,before2015,1
27,0-9y,0.4393528235041638,8000.0,no,since2015,1
31,10-19y,0.5943032701755666,8000.0,yes,before2015,0
26,10-19y,0.5343435230995932,14000.0,no,before2015,1
29,0-9y,0.6655749122210538,12000.0,yes,since2015,0
32,10-19y,0.6299704413933573,11000.0,yes,since2015,0
23,0-9y,0.373351589323795,12000.0,yes,before2015,1
26,10-19y,0.5171035570230498,14000.0,yes,before2015,0
49,10-19y,0.642882122148452,14000.0,yes,before2015,0
17,0-9y,0.5973913732761367,16000.0,no,before2015,1
74,0-9y,0.6807929771269291,9000.0,yes,since2015,0
18,0-9y,0.5336007026250289,14000.0,no,before2015,1
19,0-9y,0.4151650937990213,13000.0,yes,before2015,0
67,30+y,0.4063253015050549,16000.0,yes,before2015,0
74,30+y,0.6553212691451817,10000.0,yes,before2015,0
18,0-9y,0.4859557534361004,13000.0,yes,before2015,1
26,0-9y,0.6523115255341311,14000.0,no,since2015,1
73,20-29y,0.8326489563639781,10000.0,no,before2015,0
17,0-9y,0.3054650662533321,13000.0,yes,before2015,1
29,10-19y,0.4377852852275526,15000.0,yes,before2015,0
23,0-9y,0.5153334590011482,12000.0,no,before2015,1
52,20-29y,0.6941612293684088,13000.0,yes,since2015,0
27,10-19y,0.5002226512120536,9000.0,no,before2015,1
35,10-19y,0.3908216889202105,10000.0,yes,before2015,0
29,10-19y,0.4743758463221647,15000.0,yes,before2015,0
21,0-9y,0.4306990683368308,13000.0,yes,before2015,1
27,10-19y,0.5581335428975873,9000.0,yes,before2015,1
25,0-9y,0.4723364781950884,15000.0,yes,since2015,1
39,10-19y,0.5178262960914578,10000.0,yes,since2015,0
31,10-19y,0.2410288502358532,11000.0,yes,before2015,0
64,20-29y,0.1658168281115772,9000.0,no,before2015,0
36,0-9y,0.4436898161806707,14000.0,no,before2015,1
55,20-29y,0.6202129247986814,9000.0,yes,since2015,0
55,0-9y,0.6412526439911048,10000.0,yes,before2015,0
17,0-9y,0.2742553244192166,16000.0,no,before2015,1
19,0-9y,0.3994260117649263,9000.0,yes,before2015,0
51,20-29y,0.432834683124666,13000.0,yes,since2015,0
26,10-19y,0.3583071816607221,12000.0,yes,before2015,0
66,20-29y,0.7534863598137707,10000.0,no,before2015,0
62,20-29y,0.492497095519908,12000.0,yes,before2015,0
33,10-19y,0.5892665943313239,16000.0,yes,before2015,0
18,0-9y,0.335178252213134,12000.0,no,before2015,1
42,20-29y,0.6386684047122491,8000.0,yes,before2015,0
32,0-9y,0.6423132057980685,14000.0,no,before2015,1
26,10-19y,0.7259387452028894,14000.0,yes,before2015,0
30,10-19y,0.5250861267141177,14000.0,yes,before2015,0
74,0-9y,0.4153303916861797,10000.0,no,since2015,1
25,0-9y,0.4192746833461698,15000.0,yes,before2015,1
73,30+y,0.4543385633149859,12000.0,yes,since2015,0
56,20-29y,0.4377567029047853,6000.0,yes,since2015,0
67,30+y,0.5295651241224668,12000.0,yes,before2015,0
55,20-29y,0.5264143768112814,12000.0,yes,before2015,0
38,10-19y,0.3703704548445514,9000.0,yes,before2015,0
62,20-29y,0.4930343474504576,10000.0,no,since2015,0
19,0-9y,0.3633869168282996,13000.0,no,before2015,1
41,20-29y,0.5770224047697959,17000.0,yes,since2015,0
37,10-19y,0.4184594364748849,12000.0,no,before2015,0
29,10-19y,0.5612213429105586,12000.0,yes,before2015,1
16,0-9y,0.3329839492906544,15000.0,no,before2015,1
57,20-29y,0.6032046949686207,8000.0,yes,before2015,0
20,0-9y,0.5649717966582063,14000.0,yes,since2015,0
41,10-19y,0.4399253543767155,10000.0,yes,before2015,0
59,20-29y,0.3961106587270909,14000.0,yes,before2015,0
33,0-9y,0.5364485918496174,10000.0,yes,since2015,0
59,20-29y,0.4283474492507223,14000.0,no,before2015,0
38,10-19y,0.3502986756122059,13000.0,no,before2015,1
24,0-9y,0.5508169075157366,11000.0,no,before2015,1
41,10-19y,0.6161564595102141,8000.0,yes,since2015,0
19,0-9y,0.7225984079757813,11000.0,yes,before2015,1
33,0-9y,0.3661697993399885,14000.0,yes,before2015,1
36,10-19y,0.5822851794425411,12000.0,yes,before2015,0
71,0-9y,0.6137584322972865,11000.0,no,since2015,0
38,10-19y,0.6023013846225884,11000.0,yes,before2015,1
66,30+y,0.6741638934694225,13000.0,yes,since2015,0
44,20-29y,0.5359217109364904,9000.0,yes,before2015,0
34,10-19y,0.5689390308399636,9000.0,yes,since2015,0
47,0-9y,0.7666604791991664,11000.0,yes,before2015,1
48,20-29y,0.8147964340698576,8000.0,yes,since2015,0
19,0-9y,0.2397431027218714,19000.0,no,before2015,1
47,10-19y,0.6619768318362518,8000.0,yes,since2015,0
43,0-9y,0.7044732697996905,8000.0,yes,since2015,0
40,10-19y,0.4252740519253045,12000.0,no,before2015,1
31,10-19y,0.2880436023985726,16000.0,no,before2015,0
40,20-29y,0.4433163492804039,11000.0,yes,before2015,0
23,0-9y,0.4597597327563366,16000.0,yes,before2015,0
72,30+y,0.5864390926529277,9000.0,yes,before2015,0
54,20-29y,0.5972652576753138,13000.0,yes,before2015,0
69,10-19y,0.6550240064494428,9000.0,yes,before2015,0
21,0-9y,0.481095464318813,17000.0,yes,before2015,1
